header,taxon_id,taxon_name,taxon_rank,superkingdom_name,kingdom_name,subkingdom_name,superphylum_name,phylum_name,subphylum_name,superclass_name,class_name,subclass_name,infraclass_name,superorder_name,order_name,suborder_name,infraorder_name,parvorder_name,superfamily_name,family_name,subfamily_name,tribe_name,subtribe_name,genus_name,subgenus_name,species_group_name,species_subgroup_name,species_name,subspecies_name,varietas_name,forma_name
B_cereus_MiSeq,1053231,Bacillus cereus VD118,no rank,Bacteria,,,,Firmicutes,,,Bacilli,,,,Bacillales,,,,,Bacillaceae,,,,Bacillus,,Bacillus cereus group,,Bacillus cereus,,,
C_freundii_MiSeq,1173724,Citrobacter freundii 47N,no rank,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Enterobacteriales,,,,,Enterobacteriaceae,,,,Citrobacter,,,,Citrobacter freundii,,,
E_cloacae_MiSeq,550,Enterobacter cloacae,species,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Enterobacteriales,,,,,Enterobacteriaceae,,,,Enterobacter,,Enterobacter cloacae complex,,Enterobacter cloacae,,,
K_pneumoniae_MiSeq,1173763,Klebsiella pneumoniae NES 14,no rank,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Enterobacteriales,,,,,Enterobacteriaceae,,,,Klebsiella,,,,Klebsiella pneumoniae,,,
M_abscessus_MiSeq,1001740,Mycobacterium abscessus 6G-0125-R,no rank,Bacteria,,,,Actinobacteria,,,Actinobacteria,,,,Corynebacteriales,,,,,Mycobacteriaceae,,,,Mycobacterium,,Mycobacterium chelonae group,Mycobacterium abscessus subgroup,Mycobacterium abscessus,,,
P_vulgaris_MiSeq,1173773,Proteus vulgaris 66N,no rank,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Enterobacteriales,,,,,Enterobacteriaceae,,,,Proteus,,,,Proteus vulgaris,,,
R_sphaeroides_MiSeq,272943,Rhodobacter sphaeroides 2.4.1,no rank,Bacteria,,,,Proteobacteria,,,Alphaproteobacteria,,,,Rhodobacterales,,,,,Rhodobacteraceae,,,,Rhodobacter,,,,Rhodobacter sphaeroides,,,
S_aureus_MiSeq,1210042,Staphylococcus aureus subsp. aureus ST22,no rank,Bacteria,,,,Firmicutes,,,Bacilli,,,,Bacillales,,,,,Staphylococcaceae,,,,Staphylococcus,,,,Staphylococcus aureus,Staphylococcus aureus subsp. aureus,,
S_enterica_MiSeq,1173880,Salmonella enterica subsp. enterica serovar Montevideo str. N19965,no rank,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Enterobacteriales,,,,,Enterobacteriaceae,,,,Salmonella,,,,Salmonella enterica,Salmonella enterica subsp. enterica,,
V_cholerae_MiSeq,991923,Vibrio cholerae CP1032(5),no rank,Bacteria,,,,Proteobacteria,,,Gammaproteobacteria,,,,Vibrionales,,,,,Vibrionaceae,,,,Vibrio,,,,Vibrio cholerae,,,
